origin,destination,count
NYC,QMI,61
QMI,NYC,61
NYC,WAS,50
WAS,NYC,50
NYC,QLA,46
QLA,NYC,46
QBA,QLA,43
QLA,QBA,43
QMI,WAS,37
WAS,QMI,37
LON,NYC,36
NYC,LON,36
RIO,SAO,36
SAO,RIO,36
NYC,TYO,34
QLA,QMI,34
QMI,QLA,34
TYO,NYC,34
LAX,TYO,33
QLA,TYO,33
TYO,QLA,33
NYC,QBA,32
QBA,NYC,32
QBA,TYO,32
SFO,TYO,32
TYO,QBA,32
SFO,QLA,31
CHI,NYC,30
NYC,CHI,30
NYC,YTO,30
ORD,NYC,30
QLA,WAS,30
WAS,QLA,30
YTO,NYC,30
LAX,NYC,29
SEA,QLA,29
YYZ,NYC,29
CHI,TYO,28
DCA,NYC,28
HNL,TYO,28
ORD,TYO,28
TYO,CHI,28
BOS,NYC,27
CDG,TYO,26
LAX,QMI,26
PAR,TYO,26
SEL,TYO,26
TYO,PAR,26
TYO,SEL,26
YUL,NYC,26
BOS,QMI,25
DTW,NYC,25
JFK,LON,25
LAX,WAS,25
LHR,NYC,25
MIA,NYC,25
QBA,WAS,25
REC,SAO,25
SFO,NYC,25
TPA,NYC,25
TYO,OSA,25
WAS,QBA,25
BNA,NYC,24
CDG,NYC,24
DFW,NYC,24
DFW,QLA,24
DXB,LON,24
JFK,WAS,24
LAX,QBA,24
NYC,PAR,24
OSA,TYO,24
PAR,NYC,24
PIT,NYC,24
SFO,WAS,24
CVG,NYC,23
DEN,NYC,23
JFK,QLA,23
LGA,QMI,23
MCO,NYC,23
PHX,NYC,23
RDU,NYC,23
SEA,WAS,23
SLC,QLA,23
CHI,QMI,22
CHI,WAS,22
CMH,NYC,22
DCA,QMI,22
HND,NYC,22
JFK,TYO,22
MSY,NYC,22
ORD,QMI,22
ORD,WAS,22
POA,SAO,22
QBA,QMI,22
QMI,CHI,22
QMI,QBA,22
WAS,CHI,22
AMS,LON,21
ATL,QLA,21
CLT,NYC,21
FOR,SAO,21
LON,WAS,21
SAN,NYC,21
SDU,SAO,21
SEA,NYC,21
SEA,TYO,21
SSA,SAO,21
WAS,LON,21
ATL,NYC,20
BSB,SAO,20
BUF,NYC,20
CNF,SAO,20
CWB,SAO,20
EWR,QMI,20
HNL,QLA,20
LHR,WAS,20
LON,QBA,20
PDX,QLA,20
QBA,LON,20
QMI,YTO,20
SFO,QMI,20
YTO,QMI,20
YYZ,QMI,20
ATL,WAS,19
BOS,LON,19
CHI,QLA,19
DEN,QLA,19
HND,SEL,19
IND,NYC,19
LAS,NYC,19
LAX,LON,19
LHR,QBA,19
LON,QLA,19
NAT,SAO,19
ORD,QLA,19
PBI,NYC,19
PVG,TYO,19
QLA,CHI,19
QLA,LON,19
SEA,QBA,19
SEA,QMI,19
SLC,NYC,19
TLV,NYC,19
AUA,NYC,18
BOS,WAS,18
BPS,SAO,18
CLE,NYC,18
CUN,NYC,18
DFW,WAS,18
DTW,WAS,18
FRA,NYC,18
GYN,SAO,18
IAH,QLA,18
IGU,SAO,18
JFK,QBA,18
JFK,QMI,18
JPA,SAO,18
LAX,LHR,18
LHR,LAX,18
LHR,QLA,18
MCZ,SAO,18
MSP,NYC,18
NVT,SAO,18
PHX,QLA,18
SIN,TYO,18
YUL,QMI,18
YVR,TYO,18
ARN,NYC,17
ATH,NYC,17
ATL,QMI,17
BKK,TYO,17
DTW,QLA,17
FCO,NYC,17
FLL,NYC,17
GRU,RIO,17
HND,LAX,17
HND,QBA,17
HND,QLA,17
HND,SFO,17
IAD,LON,17
LAX,HND,17
LAX,SYD,17
MEX,NYC,17
MIA,WAS,17
MXP,NYC,17
NCE,LON,17
OGG,QLA,17
RSW,NYC,17
SFO,HND,17
SFO,LON,17
SGN,TYO,17
SLC,WAS,17
SYD,LAX,17
SYD,QLA,17
ACK,NYC,16
ATL,QBA,16
BOG,QMI,16
BOS,LHR,16
CGB,SAO,16
EWR,QLA,16
HND,JFK,16
IAD,LHR,16
IAD,NYC,16
ITM,TYO,16
JFK,HND,16
LAS,WAS,16
LAX,NRT,16
LHR,BOS,16
LHR,IAD,16
LHR,SFO,16
LIS,NYC,16
LIS,SAO,16
MAD,SAO,16
NRT,LAX,16
NRT,QLA,16
PDX,NYC,16
PHL,QMI,16
PUJ,NYC,16
PWM,NYC,16
QBA,SEL,16
SEL,QBA,16
SFO,LHR,16
SFO,SEL,16
SLC,QBA,16
AUS,QBA,15
AUS,QLA,15
BJS,TYO,15
BOS,QLA,15
CDG,HND,15
CGK,TYO,15
CGR,SAO,15
CNF,RIO,15
CPH,NYC,15
CTS,OSA,15
DEN,QMI,15
DFW,TYO,15
FLN,SAO,15
GIG,SAO,15
GRU,NYC,15
HKG,TYO,15
HND,CDG,15
HND,CHI,15
HND,HNL,15
HND,ORD,15
HND,OSA,15
HND,PAR,15
HNL,HND,15
HNL,QBA,15
IAH,NYC,15
IAH,QMI,15
ICN,QBA,15
ICN,SFO,15
ICN,TYO,15
JAX,NYC,15
JFK,SFO,15
MAD,NYC,15
MCO,QLA,15
MIA,QLA,15
MSP,CHI,15
MSP,WAS,15
NRT,QBA,15
NRT,SFO,15
NYC,SAO,15
OGG,QBA,15
ORD,HND,15
ORF,NYC,15
PVG,LON,15
SAO,NYC,15
SDF,NYC,15
SFO,ICN,15
SFO,JFK,15
SFO,NRT,15
SIN,LON,15
SXM,NYC,15
TYO,BJS,15
VIX,SAO,15
YVR,LON,15
AKL,LAX,14
AKL,QLA,14
AMS,NYC,14
BCN,NYC,14
BGR,NYC,14
BJS,SEL,14
BOG,NYC,14
BOI,QLA,14
BOS,LAX,14
BOS,QBA,14
BSB,RIO,14
BZN,NYC,14
CDG,CHI,14
CDG,ORD,14
CHI,PAR,14
CLT,WAS,14
DCA,QLA,14
DFW,QMI,14
DOH,LON,14
DUB,NYC,14
DXB,LHR,14
EZE,GRU,14
EZE,SAO,14
GRU,EZE,14
GUM,TYO,14
HNL,LAX,14
HNL,NYC,14
JFK,LHR,14
KUL,TYO,14
LAS,QBA,14
LAS,QLA,14
LAX,AKL,14
LAX,BOS,14
LAX,HNL,14
LAX,OGG,14
LAX,SFO,14
LGA,WAS,14
LHR,DXB,14
LHR,JFK,14
MCI,NYC,14
MGF,SAO,14
MNL,TYO,14
MSP,QMI,14
NAS,NYC,14
OGG,LAX,14
ORD,CDG,14
ORD,PAR,14
PAR,CHI,14
QMI,SAO,14
RIC,NYC,14
SAN,WAS,14
SAO,QMI,14
SEL,BJS,14
SFO,LAX,14
SJU,NYC,14
SRQ,NYC,14
TPE,QLA,14
UDI,SAO,14
YVR,QLA,14
AMS,SIN,13
AUS,NYC,13
BOS,SFO,13
BRU,NYC,13
BTV,NYC,13
CDG,JFK,13
CDG,SIN,13
CGH,RIO,13
CHI,QBA,13
CMN,PAR,13
CTS,TYO,13
CXJ,SAO,13
DEL,LON,13
DFW,QBA,13
DPS,SIN,13
DTW,CHI,13
DTW,QBA,13
DTW,QMI,13
FCO,CHI,13
FCO,ORD,13
FLL,QLA,13
FRA,JFK,13
FRA,TYO,13
GRU,MAD,13
GVA,LON,13
HAN,TYO,13
HNL,NRT,13
IAD,TYO,13
ICN,SEA,13
IOS,SAO,13
JFK,CDG,13
JFK,FRA,13
JFK,LAX,13
JFK,MXP,13
JFK,PAR,13
KEF,NYC,13
KIX,SEL,13
KOA,LAX,13
KOA,QBA,13
KOA,QLA,13
LAS,LON,13
LAX,JFK,13
LAX,KOA,13
LAX,LIR,13
LAX,MCO,13
LAX,MEL,13
LHR,YTO,13
LHR,YYZ,13
LIH,QBA,13
LIR,LAX,13
LIR,NYC,13
LIR,QLA,13
LON,YTO,13
MAD,GRU,13
MAD,PAR,13
MBJ,NYC,13
MCO,LAX,13
MCO,WAS,13
MDE,QMI,13
MEL,LAX,13
MEL,QLA,13
MEL,SIN,13
MKE,NYC,13
MXP,JFK,13
NGO,TYO,13
NRT,CHI,13
NRT,HNL,13
NRT,ORD,13
NRT,YVR,13
ORD,FCO,13
ORD,NRT,13
ORD,QBA,13
OSA,SEL,13
OSL,NYC,13
PDX,QBA,13
PEK,SEL,13
